Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
Fidelity National Financial,3.8,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,942,5.9k,46,--,Financial Services , 1k-5k Employees , Forbes Global 2000 , 177 years old , Bangalore Rural +10 more,
Wheelseye Technology,3.7,"Job Security, Promotions / Appraisal, Salary & Benefits",,966,3k,72,25,Logistics , 1k-5k Employees , Startup , 7 years old , Gurgaon +181 more,
DENSO,4.2,"Job Security, Company Culture, Salary & Benefits",,922,3.6k,58,--,Auto Components , 1k-5k Employees , Public , 77 years old , Kariya +34 more,
Sansera Engineering,4.2,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,938,4.4k,58,--,Auto Components , 1k-5k Employees , Public , 38 years old , Bangalore/Bengaluru +24 more,
Xyz Company,3.8,"Company Culture, Work Life Balance",,1k,28k,303,--,Financial Services , 51-200 Employees (Global) , Mumbai +90 more,,,
Apco Infratech,3.9,"Company Culture, Job Security",,911,3.7k,92,--,Engineering & Construction , 1k-5k Employees , 32 years old , Lucknow +71 more,,
ManpowerGroup,3.9,"Promotions / Appraisal, Job Security",,935,4.8k,40,--,Recruitment , 50k-1 Lakh Employees , Forbes Global 2000 , 29 years old , New Delhi +121 more,
SAI Life Sciences,3.9,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,959,5k,68,--,Pharma , 1k-5k Employees , Public , 25 years old , Hyderabad +16 more,
Tata 1mg,3.7,"Promotions / Appraisal, Job Security, Work Satisfaction",,981,5.1k,116,--,Internet , 1k-5k Employees , 9 years old , Gurgaon +51 more,,
Clover Infotech,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,958,10k,81,--,IT Services & Consulting , 1k-5k Employees , 30 years old , Mumbai +17 more,,
Shriram Pistons & Rings,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,891,4.3k,54,--,Auto Components , 1k-5k Employees , Public , 61 years old , Delhi/NCR +52 more,
ANZ Banking Group,4.2,"Company Culture, Job Security, Work Life Balance",,908,7.4k,72,21,Financial Services , 5k-10k Employees , Forbes Global 2000 , 17 years old , Melbourne +16 more,
QualityKiosk Technologies,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,952,9.4k,109,58,IT Services & Consulting , 1k-5k Employees , 24 years old , Mumbai +16 more,,
Gujarat Fluorochemicals,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,929,5k,61,--,Chemicals , 1k-5k Employees , Fortune India 500 , 37 years old , Noida +24 more,
Dixon Technologies,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",,923,4.5k,86,--,Electronics Manufacturing , 1k-5k Employees , Public , 31 years old , Noida +32 more,
Schindler,4.0,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,961,4.2k,59,--,Industrial Machinery , 5k-10k Employees , Pune +63 more,,,
Fresenius Kabi,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,920,4.3k,35,--,Pharma , 1k-5k Employees , 25 years old , Bad Homburg +58 more,,
Atul,3.9,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,913,4.7k,67,--,Chemicals , 1k-5k Employees , Public , 77 years old , Valsad +53 more,
Nexa,4.1,Skill Development / Learning,"Job Security, Promotions / Appraisal",855,2.7k,29,--,Automobile , 1k-5k Employees , 9 years old , Delhi/NCR +184 more,,
Vibgyor High School,3.8,"Promotions / Appraisal, Job Security",,939,3.9k,55,135,Education & Training , 1k-5k Employees , 20 years old , Mumbai +29 more,,
The Jaypee Group,3.9,Job Security,Promotions / Appraisal,924,3.5k,36,--,Engineering & Construction , 10k-50k Employees , Public , 45 years old , Noida +98 more,
K12 Techno Services,3.1,"Job Security, Promotions / Appraisal, Company Culture",,1k,4.2k,108,--,EdTech , 1k-5k Employees , 14 years old , Bangalore/Bengaluru +33 more,,
Vestas,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,925,4.9k,69,--,Power , 1k-5k Employees , Forbes Global 2000 , 27 years old , Aarhus +43 more,
Amneal Pharmaceuticals,4.3,"Work Life Balance, Job Security, Company Culture",,912,5.1k,55,--,Pharma , 5k-10k Employees , 22 years old , Bridgewater +26 more,,
Hitachi Astemo,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,961,4.3k,90,--,Auto Components , 1k-5k Employees , Neemrana +32 more,,,
EOSGlobe,3.1,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,951,3.4k,67,27,BPO , 1k-5k Employees , 22 years old , Thane +17 more,,
Altisource,3.6,"Job Security, Promotions / Appraisal, Skill Development / Learning",,884,4.8k,36,--,Real Estate , 1k-5k Employees , 17 years old , Bangalore/Bengaluru +8 more,,
FOCUS EDUMATICS,3.4,"Promotions / Appraisal, Job Security, Salary & Benefits",,959,2.5k,108,--,EdTech , 1k-5k Employees , 25 years old , Bangalore/Bengaluru +19 more,,
Amara Raja Energy & Mobility,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,961,3.6k,51,87,Auto Components , 5k-10k Employees , Fortune India 500 , 39 years old , Tirupati +70 more,
Tata AutoComp Systems,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,938,5.3k,71,--,Auto Components , 1k-5k Employees , Public , 29 years old , Pune +34 more,
iSON Xperiences,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,935,3.2k,55,--,BPO , 5k-10k Employees , 13 years old , Lagos +35 more,,
Luminous Power Technologies,4.2,"Work Life Balance, Job Security, Company Culture",,906,3.3k,57,30,Consumer Electronics & Appliances , 1k-5k Employees , 36 years old , Gurgaon/Gurugram +110 more,,
Indegene,3.6,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,958,7.8k,133,--,Analytics & KPO , 1k-5k Employees , 26 years old , Princeton +22 more,,
Wistron,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",951,5.2k,78,--,Electronics Manufacturing , 1k-5k Employees , Forbes Global 2000 , 23 years old , Taipei +20 more,
CreditAccess Grameen,4.3,"Job Security, Company Culture, Skill Development / Learning",,911,2.4k,30,12,NBFC , 10k-50k Employees , Public , 25 years old , Bangalore/Bengaluru +258 more,
TELUS International Philippines,3.8,Work Life Balance,Promotions / Appraisal,955,7.4k,75,43,IT Services & Consulting , 1k-5k Employees , Startup , 19 years old , Pasig City +16 more,
Infogain,3.6,"Promotions / Appraisal, Salary & Benefits",,941,10.2k,93,--,IT Services & Consulting , 1k-5k Employees , 34 years old , Los Gatos +17 more,,
Patanjali Foods,4.0,Work Life Balance,Promotions / Appraisal,910,3k,44,--,FMCG , 5k-10k Employees , Public , 38 years old , Mumbai +157 more,
GAIL,4.5,"Work Life Balance, Company Culture, Salary & Benefits",,868,3.1k,69,--,Oil & Gas , 1k-5k Employees , Fortune India 500 , 40 years old , Delhi/NCR +93 more,
Medhaj Techno Concept,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,911,2.1k,43,--,Other , 1k-5k Employees , 17 years old , Lucknow +143 more,,
Tenneco,3.8,"Promotions / Appraisal, Salary & Benefits, Job Security",,901,4.6k,50,--,Auto Components , 1k-5k Employees , Forbes Global 2000 , 84 years old , Lake Forest +35 more,
Jio Platforms,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",1k,7.6k,148,--,IT Services & Consulting , 5k-10k Employees , Navi Mumbai +72 more,,,
IndiaFirst Life Insurance,4.1,"Salary & Benefits, Work Life Balance, Company Culture",,945,3.4k,48,--,Insurance , 1k-5k Employees , 15 years old , Mumbai +186 more,,
Infinx,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,933,4.2k,86,28,Software Product , 1k-5k Employees , 12 years old , Mumbai +28 more,,
Videocon d2h,3.9,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security, Salary & Benefits",811,1.4k,22,--,Internet , 501-1k Employees , Public , 15 years old , Mumbai +129 more,
Kantar,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,943,6k,88,--,Analytics & KPO , 5k-10k Employees , 16 years old , London +34 more,,
Johnson Lifts,4.0,"Job Security, Work Life Balance, Skill Development / Learning",,854,3.5k,33,--,Industrial Machinery , 5k-10k Employees , 43 years old , Chennai +67 more,,
Continental Automotive Components,4.2,"Job Security, Work Life Balance, Company Culture",,929,8.3k,57,10,Auto Components , 5k-10k Employees , 153 years old , Lower Saxony +19 more,,
CSB Bank,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",,948,5.4k,59,--,Banking , 1k-5k Employees , 104 years old , Thrissur/Trichur +154 more,,
Eaton Corporation,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,900,6.8k,92,60,Power , 5k-10k Employees , Public , 113 years old , Cleveland +19 more,
AIIMS,4.2,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal,887,4.2k,42,--,Healthcare , 10k-50k Employees , 68 years old , Delhi/NCR +54 more,,
Consolidated Contractors,4.5,"Work Satisfaction, Work Life Balance, Company Culture",,795,1.4k,27,--,Engineering & Construction , 1k-5k Employees , Public , 72 years old , Marousi +50 more,
Wind World,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",875,3.2k,65,--,Power , 5k-10k Employees , 30 years old , Mumbai +63 more,,
Bajaj Motors,3.9,Skill Development / Learning,Promotions / Appraisal,849,3.3k,43,--,Auto Components , 501-1k Employees , 38 years old , Gurgaon +64 more,,
PharmEasy,3.8,"Job Security, Promotions / Appraisal",,914,4.6k,68,--,Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Mumbai +57 more,
Piaggio,3.7,"Promotions / Appraisal, Job Security, Salary & Benefits",,859,3.8k,45,--,Automobile , 1k-5k Employees , 140 years old , Pontedera +70 more,,
Godrej Properties,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",949,6k,68,--,Real Estate , 1k-5k Employees , Public , 34 years old , Mumbai +27 more,
Mahindra CIE Automotive,3.8,"Promotions / Appraisal, Company Culture, Job Security",,851,3.9k,57,48,Auto Components , 1k-5k Employees , Public , 25 years old , Mumbai +37 more,
Bharat Sanchar Nigam,4.0,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",843,2.7k,31,--,Telecom , 50k-1 Lakh Employees , Central , 24 years old , Delhi/NCR +210 more,
TE Connectivity,4.1,"Company Culture, Work Life Balance, Job Security",,898,6k,54,--,Industrial Machinery , 1k-5k Employees , Forbes Global 2000 , 83 years old , Schaffhausen +14 more,
PNB Housing Finance,3.8,Promotions / Appraisal,,894,4.1k,37,--,Financial Services , 1k-5k Employees , Public , 36 years old , Delhi/NCR +115 more,
Intertek,3.8,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,881,3.7k,37,--,Other , 1k-5k Employees , 27 years old , London +84 more,,
Jaquar,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,915,4k,46,--,Building Material , 10k-50k Employees , 64 years old , Gurgaon +86 more,,
JW Marriott,4.1,"Job Security, Skill Development / Learning, Company Culture",,842,2.2k,34,--,Hospitality , 1k-5k Employees , 97 years old , Bethesda +39 more,,
Zf Rane Automotive,4.1,Skill Development / Learning,Promotions / Appraisal,837,3.7k,45,--,Auto Components , 1k-5k Employees , Chennai +44 more,,,
TUV SUD,3.9,Promotions / Appraisal,,895,3.6k,48,--,Other , 1k-5k Employees , 158 years old , Munich +98 more,,
Godrej Consumer Products,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,864,4.2k,38,--,FMCG , 1k-5k Employees , Public , 23 years old , Mumbai +110 more,
Automotive Manufacturers,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,862,5.7k,71,49,Automobile , 10k-50k Employees , 76 years old , Mumbai +121 more,,
Gannon Dunkerley & Co.,3.8,"Salary & Benefits, Promotions / Appraisal, Company Culture",,816,2.2k,29,--,Engineering & Construction , 1k-5k Employees , 100 years old , Mumbai +67 more,,
IIFL SAMASTA,4.1,"Skill Development / Learning, Job Security, Salary & Benefits",,909,2.4k,46,8,NBFC , 10k-50k Employees , Bangalore / Bengaluru +275 more,,,
Mondelez International,4.4,"Salary & Benefits, Company Culture, Work Life Balance",,893,4.2k,45,45,Food Processing , 1k-5k Employees , Forbes Global 2000 , 12 years old , Greater Chicago Area +140 more,
Capri Global Capital,3.7,"Job Security, Promotions / Appraisal, Work Satisfaction",,917,3.3k,44,20,NBFC , 1k-5k Employees , Public , 27 years old , Mumbai +220 more,
Worley,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,894,5.9k,88,151,Engineering & Construction , 5k-10k Employees , 53 years old , North Sydney +44 more,,
JSW Cement,4.1,"Job Security, Salary & Benefits, Company Culture",,882,3.7k,87,--,Building Material , 1k-5k Employees , Conglomerate , 15 years old , Mumbai +108 more,
Sahara India Pariwar,3.8,"Promotions / Appraisal, Salary & Benefits",,869,2.6k,23,--,Broadcasting , 5k-10k Employees , Conglomerate , 46 years old , Lucknow +225 more,
Apexon,3.4,"Promotions / Appraisal, Job Security, Salary & Benefits",,889,7.9k,88,57,IT Services & Consulting , 1k-5k Employees , 28 years old , Santa Clara +15 more,,
Adobe,4.1,"Company Culture, Work Life Balance, Job Security",,920,10.7k,199,--,Software Product , 5k-10k Employees , Public , 42 years old , San Jose +15 more,
Slk Software Services,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,881,8.5k,70,79,IT Services & Consulting , 1k-5k Employees , 24 years old , Bangalore/Bengaluru +12 more,,
Spencer's Retail,3.9,Job Security,Promotions / Appraisal,852,2.9k,37,--,Retail , 1k-5k Employees , Public , 161 years old , Kolkata +57 more,
Karma Ayurveda,4.5,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,880,390,4,--,Healthcare , 51-200 Employees , New Delhi +4 more,,,
Punj Lloyd,4.4,"Work Life Balance, Company Culture, Work Satisfaction",,775,1.9k,16,--,Engineering & Construction , 5k-10k Employees , Public , 42 years old , Gurgaon/Gurugram +70 more,
Dhoot Transmission,3.7,"Promotions / Appraisal, Salary & Benefits, Job Security",,845,3.9k,49,--,Power , 201-500 Employees , 26 years old , Mumbai +31 more,,
Sonata Software,3.6,"Promotions / Appraisal, Salary & Benefits",,885,10.6k,94,--,IT Services & Consulting , 1k-5k Employees , Public , 38 years old , Bangalore/Bengaluru +12 more,
Petrofac,4.3,"Salary & Benefits, Work Satisfaction, Company Culture",,821,2.7k,36,--,Oil & Gas , 1k-5k Employees , 43 years old , Jermyn Street +38 more,,
Morningstar,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",924,7.4k,209,--,Financial Services , 1k-5k Employees , 40 years old , Chicago +16 more,,
Siemens Gamesa Renewable Power Private Limited,4.1,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,825,4.9k,45,48,Power , 1k-5k Employees , 48 years old , Chennai +56 more,,
R Systems International,3.4,"Job Security, Promotions / Appraisal, Skill Development / Learning",,889,7.1k,94,22,IT Services & Consulting , 1k-5k Employees , Public , 31 years old , El Dorado Hills +15 more,
Hinduja Leyland Finance,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,904,2.4k,23,--,NBFC , 1k-5k Employees , 18 years old , Chennai +231 more,,
GAO Tek,4.5,"Skill Development / Learning, Work Life Balance, Company Culture",Salary & Benefits,1.1k,159,58,48,Electrical Equipment , 201-500 Employees , 19 years old , New York +34 more,,
Hatsun Agro Product,4.0,Skill Development / Learning,,870,4.1k,57,--,Food Processing , 5k-10k Employees , Public , 54 years old , Chennai +102 more,
Shriram Life Insurance,3.8,"Promotions / Appraisal, Salary & Benefits",,868,3.5k,55,--,Insurance , 1k-5k Employees , Conglomerate , 19 years old , Hyderabad/Secunderabad +225 more,
Urban Company,3.5,"Job Security, Promotions / Appraisal, Work Life Balance",,900,4.5k,104,56,Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Gurgaon +51 more,
Coca-Cola Company,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,840,2.9k,78,--,Beverage , 5k-10k Employees , Forbes Global 2000 , 138 years old , Atlanta +165 more,
Tikona Infinet,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,806,3k,25,--,Telecom , 1k-5k Employees , 16 years old , Mumbai +45 more,,
Nasser S. Al Hajri Corporation,3.6,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",780,2k,23,--,Engineering & Construction , 501-1k Employees , 46 years old , Al Jubail +44 more,,
Viraj Profiles,3.9,"Promotions / Appraisal, Company Culture",,817,4k,63,--,Iron & Steel , 1k-5k Employees , 24 years old , Mumbai +21 more,,
Serco,4.4,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,800,1.5k,30,--,Analytics & KPO , 5k-10k Employees , 36 years old , Hook +39 more,,
Nielsen,3.8,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",835,5.4k,81,--,Analytics & KPO , 1k-5k Employees , 101 years old , New York City +71 more,,
HPCL-Mittal Energy Limited,4.3,"Job Security, Salary & Benefits, Company Culture",,809,4.2k,30,--,Petrochemicals , 1k-5k Employees , 17 years old , Noida +24 more,,
Episource,3.8,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,858,3.7k,210,--,IT Services & Consulting , 1k-5k Employees , 18 years old , Gardena +13 more,,
Decathlon,3.9,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Work Life Balance",882,3.5k,74,--,Retail , 1k-5k Employees , 48 years old , Lille +60 more,,
Thyrocare Technologies,3.6,"Promotions / Appraisal, Job Security, Company Culture",,866,4.1k,57,--,Healthcare , 1k-5k Employees , Public , 28 years old , Mumbai +62 more,
Podar International School,4.3,"Skill Development / Learning, Job Security, Company Culture",,860,2.8k,54,--,Education & Training , 5k-10k Employees , 97 years old , Mumbai +110 more,,
Amazon Logistics,4.3,"Company Culture, Skill Development / Learning, Salary & Benefits",,884,3.4k,66,--,Logistics , 51-200 Employees , Hyderabad / Secunderabad +124 more,,,
RBL FinServe,4.1,"Salary & Benefits, Skill Development / Learning",,848,2.8k,42,--,Financial Services , 5k-10k Employees , 19 years old , Mumbai +284 more,,
iQor Global Services,3.6,"Promotions / Appraisal, Job Security, Skill Development / Learning",,774,2.5k,22,20,BPO , 1k-5k Employees , 26 years old , Saint Petersburg +48 more,,
Atos Global IT Solutions And Services,4.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,844,7.9k,69,33,IT Services & Consulting , 5k-10k Employees , 24 years old , Navi Mumbai +17 more,,
OpenText Technologies,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,883,9.5k,120,37,Software Product , 1k-5k Employees , 33 years old , Waterloo +10 more,,
Airtel Payments Bank,4.1,"Skill Development / Learning, Company Culture, Job Security",,873,4k,59,--,FinTech , 501-1k Employees , Public , 8 years old , Delhi/NCR +227 more,
Strides Pharma,3.9,Skill Development / Learning,"Job Security, Promotions / Appraisal",807,3.9k,50,--,Pharma , 201-500 Employees , Public , 34 years old , Bangalore/Bengaluru +31 more,
Arvind Lifestyle Brands,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,800,2k,10,--,Retail , 201-500 Employees , Bangalore / Bengaluru +85 more,,,
Bajaj Housing Finance,3.8,"Work Life Balance, Company Culture, Work Satisfaction",,865,4.9k,47,29,NBFC , 1k-5k Employees , 16 years old , Pune +122 more,,
JK Lakshmi Cement,3.9,,,830,3.3k,49,--,Building Material , 1k-5k Employees , Public , 42 years old , Delhi/NCR +115 more,
Kirloskar Oil Engines,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,832,3.6k,40,--,Industrial Machinery , 1k-5k Employees , Public , 78 years old , Pune +90 more,
Mando Automotive,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",807,4.6k,45,--,Auto Components , 1k-5k Employees , Fortune India 500 , 18 years old , Kanchipuram +17 more,
Sunknowledge Services,3.9,"Job Security, Skill Development / Learning, Work Satisfaction",,890,2.6k,54,--,BPO , 1k-5k Employees , 18 years old , New York +11 more,,
iMerit,3.7,"Promotions / Appraisal, Salary & Benefits",,872,4.1k,79,19,Software Product , 1k-5k Employees , Startup , 12 years old , Kolkata +11 more,
MDIndia Health Insurance TPA,3.8,"Promotions / Appraisal, Salary & Benefits",,823,3.4k,50,20,Insurance , 5k-10k Employees , 24 years old , Pune +78 more,,
PNC Infratech,4.0,Job Security,Promotions / Appraisal,821,3.2k,49,--,Engineering & Construction , 5k-10k Employees , Public , 25 years old , Delhi/NCR +75 more,
Sri Chaitanya Educational Institutions,3.8,"Promotions / Appraisal, Salary & Benefits",,811,3k,33,--,Education & Training , 50k-1 Lakh Employees , 38 years old , Hyderabad/Secunderabad +86 more,,
FastInfo,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,854,679,23,11,EdTech , 501-1k Employees , Startup , 5 years old , Kolkata +7 more,
Shubham Housing Development Finance,3.9,"Salary & Benefits, Job Security, Skill Development / Learning",,847,2.8k,27,--,NBFC , 1k-5k Employees , 14 years old , Gurgaon +116 more,,
Altimetrik,3.8,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",878,8.8k,155,37,IT Services & Consulting , 1k-5k Employees , 12 years old , Southfield +10 more,,
V5 Global Services,3.9,Promotions / Appraisal,,860,2.9k,51,--,Recruitment , 10k-50k Employees , 19 years old , Delhi/NCR +161 more,,
Kendriya Vidyalaya Sangathan,4.4,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",785,1.7k,70,--,Education & Training , 10k-50k Employees , Public , 61 years old , Delhi/NCR +208 more,
Ion Exchange India,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",836,4.2k,50,--,Waste Management , 1k-5k Employees , Public , 60 years old , Mumbai +92 more,
Parexel International,4.0,"Job Security, Company Culture",Promotions / Appraisal,814,5.4k,65,--,Clinical Research , 1k-5k Employees , 42 years old , Massachusetts +12 more,,
Onward Technologies Inc,3.2,"Job Security, Promotions / Appraisal, Skill Development / Learning",,810,5.5k,59,68,Software Product , 1k-5k Employees , Public , 33 years old , Mumbai +61 more,
BGR Energy Systems,3.8,"Promotions / Appraisal, Salary & Benefits",,807,3.9k,39,--,Engineering & Construction , 1k-5k Employees , Public , 39 years old , Chennai +49 more,
Jubilant Pharmova,4.0,Promotions / Appraisal,,781,3.8k,54,63,Pharma , 1k-5k Employees , Public , 46 years old , Noida +54 more,
Aarvee Associates,4.0,Promotions / Appraisal,,816,3k,60,--,Engineering & Construction , 1k-5k Employees , 35 years old , Hyderabad/Secunderabad +128 more,,
Barbeque Nation,4.0,"Company Culture, Job Security, Skill Development / Learning",,811,2.5k,28,--,Hospitality , 5k-10k Employees , 18 years old , Bangalore/Bengaluru +71 more,,
NTT DATA Business Solutions,3.8,Promotions / Appraisal,,892,9k,59,--,IT Services & Consulting , 1k-5k Employees , Bangalore / Bengaluru +25 more,,,
DCM Shriram,4.3,"Job Security, Company Culture, Work Life Balance",,827,4.1k,65,--,Chemicals , 5k-10k Employees , Public , 34 years old , Delhi/NCR +78 more,
Volkswagen,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,756,3.3k,34,--,Automobile , 1k-5k Employees , Forbes Global 2000 , 23 years old , Mumbai +96 more,
Novo Nordisk,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,837,5.1k,69,--,Pharma , 1k-5k Employees , Forbes Global 2000 , 101 years old , New York City +63 more,
Muthoot Microfin,4.5,"Skill Development / Learning, Job Security, Company Culture",,829,2.1k,25,--,NBFC , 10k-50k Employees , 9 years old , Ernakulam +249 more,,
Rockman Industries,3.9,Skill Development / Learning,,812,3.6k,68,--,Auto Components , 1k-5k Employees , 64 years old , Delhi/NCR +30 more,,
ReNew,4.3,"Job Security, Company Culture, Skill Development / Learning",,869,4.3k,65,77,Power , 1k-5k Employees , 13 years old , Gurugram +80 more,,
Intel,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,858,7.9k,174,--,Semiconductors , 10k-50k Employees , Public , 56 years old , Santa Clara +32 more,
Jacobs Engineering Group,4.0,"Work Life Balance, Company Culture",Promotions / Appraisal,821,4.7k,58,29,Engineering & Construction , 1k-5k Employees , Forbes Global 2000 , 77 years old , Dallas +35 more,
The Ramco Cements,4.3,"Job Security, Company Culture, Work Life Balance",,818,3.4k,39,--,Building Material , 1k-5k Employees , Public , 63 years old , Chennai +89 more,
XcelServ Solutions,4.6,"Work Life Balance, Job Security, Salary & Benefits",,814,487,8,--,IT Services & Consulting , 501-1k Employees , 13 years old , Las Vegas +35 more,,
Edelweiss Tokio Life Insurance,3.9,Promotions / Appraisal,,807,3.7k,36,--,Insurance , 1k-5k Employees , 13 years old , Mumbai +116 more,,
Softenger,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,817,2.4k,40,--,IT Services & Consulting , 501-1k Employees , 25 years old , Pune +32 more,,
Chetu,3.3,"Job Security, Work Life Balance, Company Culture",,860,7.4k,141,--,Software Product , 1k-5k Employees , 24 years old , Sunrise +8 more,,
Evision Technoserve,4.7,"Company Culture, Work Life Balance, Work Satisfaction",,809,222,15,--,Recruitment , 51-200 Employees , 12 years old , Delhi/NCR +63 more,,
Nippon Paint India,4.1,Skill Development / Learning,,842,3.5k,43,--,Chemicals , 1k-5k Employees , Forbes Global 2000 , 143 years old , Osaka +124 more,
Medplus(optival Health Solutions),3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,827,3.2k,59,--,501-1k Employees , Fortune India 500 , 18 years old , Hyderabad +86 more,,
OM Logistics,4.0,Job Security,Promotions / Appraisal,794,3.1k,50,--,Logistics , 1k-5k Employees , 25 years old , Delhi/NCR +102 more,,
Aerial Telecom Solutions,4.4,"Work Life Balance, Work Satisfaction, Company Culture",,806,1.8k,33,54,Telecom , 5k-10k Employees , 14 years old , Mohali +85 more,,
Lemon Tree Hotels,4.2,"Job Security, Skill Development / Learning, Company Culture",,748,2.7k,37,--,Hospitality , 5k-10k Employees , Public , 22 years old , Delhi/NCR +65 more,
Power Grid Corporation of India,4.4,"Salary & Benefits, Company Culture, Work Life Balance",,803,2k,54,--,Power , 5k-10k Employees , Fortune India 500 , 35 years old , Gurgaon/Gurugram +185 more,
Pristyn Care,3.7,Salary & Benefits,"Work Life Balance, Job Security",864,3.7k,63,17,Healthcare , 1k-5k Employees , Indian Unicorn , 6 years old , Delhi +28 more,
1point1 Solutions,3.4,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,796,3k,62,54,BPO , 5k-10k Employees , Public , 16 years old , Navi Mumbai +14 more,
Vertex Customer Solutions,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,707,1.5k,9,--,IT Services & Consulting , 5k-10k Employees , 14 years old , Panchkula +31 more,,
Vistaar Finance,4.2,"Company Culture, Salary & Benefits, Job Security",,782,2.1k,23,--,NBFC , 1k-5k Employees , 14 years old , Bengaluru/Bangalore +165 more,,
Provana,3.7,Promotions / Appraisal,,830,3.1k,51,--,IT Services & Consulting , 1k-5k Employees , 13 years old , Lisle +6 more,,
Hyundai Mobis,3.9,"Job Security, Salary & Benefits",Promotions / Appraisal,798,4.6k,51,--,Auto Components , 1k-5k Employees , Forbes Global 2000 , 7 years old , Kanchipuram +43 more,
V2 Retail,3.5,"Job Security, Company Culture, Work Satisfaction",,768,2.2k,46,--,Retail , 1k-5k Employees , Public , 23 years old , Delhi/NCR +90 more,
Ceasefire Industries,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,790,2.8k,78,--,Industrial Machinery , 1k-5k Employees , 22 years old , Noida +69 more,,
