Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
AU Small Finance Bank,4.4,"Skill Development / Learning, Job Security, Company Culture",,8.9k,19.2k,358,62,Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +412 more,
Mahindra & Mahindra,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.7k,36.6k,566,--,Automobile , 1 Lakh+ Employees , Public , 79 years old , Mumbai +483 more,
Infosys BPM,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.4k,61k,807,138,BPO , 10k-50k Employees , 22 years old , Bangalore/Bengaluru +67 more,,
DXC Technology,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",8.5k,79.5k,697,--,IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Minato +84 more,
IDFC FIRST Bank,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,8.7k,41.7k,528,37,Banking , 10k-50k Employees , Public , 6 years old , Mumbai +589 more,
Conneqt Business Solutions,3.7,"Promotions / Appraisal, Salary & Benefits",,8k,26.1k,392,339,BPO , 10k-50k Employees , 22 years old , Mumbai +226 more,,
LTIMindtree,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,8.4k,1L,1.3k,--,IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Bangalore / Bengaluru +56 more,
HDFC Life,4.1,"Skill Development / Learning, Job Security, Company Culture",,7.8k,29.3k,505,--,Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +568 more,
Bajaj Finserv,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,7.9k,26.2k,417,6,Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Pune +909 more,
Mphasis,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,7.2k,66.1k,641,--,IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Bangalore/Bengaluru +53 more,
PwC,3.6,Job Security,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",7.5k,86.1k,1k,1.4k,Management Consulting , 10k-50k Employees , Conglomerate , 144 years old , London +97 more,
HSBC Group,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6.8k,59.6k,438,--,Banking , 10k-50k Employees , Forbes Global 2000 , 159 years old , Pune +59 more,
Startek,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,6.6k,22.7k,388,71,BPO , 10k-50k Employees , Public , 7 years old , Mumbai +73 more,
Hinduja Global Solutions,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.6k,24.4k,209,--,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Bangalore/Bengaluru +104 more,
Samsung,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,6.5k,27.2k,460,--,Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Seoul +507 more,
Ericsson,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,6.5k,43.2k,340,600,Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Stockholm +150 more,
Maruti Suzuki,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",,6.6k,25.8k,507,--,Automobile , 10k-50k Employees , Public , 43 years old , New Delhi +385 more,
Shriram Finance,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,6.3k,13.5k,275,9,NBFC , 50k-1 Lakh Employees , Public , 45 years old , Mumbai +969 more,
Asian Paints,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.5k,22k,547,--,Chemicals , 5k-10k Employees , Public , 82 years old , Mumbai +449 more,
Yes Bank,3.9,Salary & Benefits,,6.5k,40.8k,347,--,Banking , 10k-50k Employees , Public , 20 years old , Mumbai +449 more,
Cipla,4.1,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,6.1k,23.9k,416,88,Pharma , 10k-50k Employees , Public , 89 years old , Mumbai +240 more,
Dr. Reddy's,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,6.1k,24k,325,--,Pharma , 10k-50k Employees , Public , 40 years old , Hyderabad/Secunderabad +171 more,
Sutherland Global Services,3.7,"Promotions / Appraisal, Salary & Benefits",,6k,28.1k,475,--,IT Services & Consulting , 10k-50k Employees , 38 years old , Chennai +58 more,,
Paytm,3.4,"Job Security, Promotions / Appraisal, Company Culture",,6.4k,31.9k,609,--,FinTech , 10k-50k Employees , Public , 14 years old , Noida +329 more,
Bandhan Bank,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",6.2k,20.3k,444,--,Banking , 50k-1 Lakh Employees , Public , 23 years old , Kolkata +786 more,
UltraTech Cement,4.2,"Job Security, Skill Development / Learning, Company Culture",,6k,21.5k,456,--,Building Material , 10k-50k Employees , Public , 41 years old , Mumbai +441 more,
EXL Service,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.1k,38.6k,588,--,Analytics & KPO , 10k-50k Employees , 25 years old , New York City +46 more,,
